FacilityKey,Facility Type,Latitude,Longitude,CountryCode,CountryName,GlobalRegion,SubRegion,CurrencyCode,PrivacyRegime,ProvinceState,City,LyraFacilityType,ActiveFlag
170,Pharmacy,10.832859732665057,8.256056088030983,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,KwaZulu-Natal,Bloemfontein,Digital Care Hub,1
171,Pharmacy,7.502590023898487,6.136772160488107,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Eastern Cape,Johannesburg,Corporate Wellness Site,1
172,Pharmacy,10.76096008720126,12.157537680246936,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Florida,Los Angeles,In-Person Counselling Centre,1
173,Pharmacy,11.897505726183642,8.571076984640698,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,New York,Corporate Wellness Site,1
174,Pharmacy,11.94861073666716,6.6874682862644965,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,Austin,Critical Incident Response Centre,1
175,Pharmacy,9.3321856364772,13.40406631391996,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Gauteng,Johannesburg,Telephone Counselling Centre,1
176,Pharmacy,10.758581025447867,11.552094728765123,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,New York,In-Person Counselling Centre,1
177,Pharmacy,6.24738945769436,7.720239360141388,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Western Cape,Johannesburg,Telephone Counselling Centre,1
178,Pharmacy,5.1458435449281765,9.882957215697813,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,Los Angeles,Corporate Wellness Site,1
179,Pharmacy,12.76723922772282,10.832841449019162,CA,Canada,North America,Canada,CAD,PIPEDA-oriented privacy controls,Quebec,Vancouver,Digital Care Hub,1
180,Pharmacy,6.71840511505198,3.2253905255656075,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,Los Angeles,Digital Care Hub,1
181,Pharmacy,11.017733009634629,8.4198303996669,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,Miami,Corporate Wellness Site,1
182,Pharmacy,6.568753405602397,11.292732238390776,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Florida,Austin,In-Person Counselling Centre,1
183,Pharmacy,8.168832142420115,5.898993469229087,AU,Australia,Asia-Pacific,Oceania,AUD,Australian Privacy Act-oriented controls,New South Wales,Sydney,Critical Incident Response Centre,1
184,Pharmacy,11.824077282137967,9.778903220890456,AU,Australia,Asia-Pacific,Oceania,AUD,Australian Privacy Act-oriented controls,Western Australia,Perth,In-Person Counselling Centre,1
185,Pharmacy,5.7106143845314525,13.2374019843215,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,Los Angeles,Telephone Counselling Centre,1
186,Pharmacy,6.838116955251412,13.03066423403754,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Gauteng,Cape Town,Digital Care Hub,1
187,Pharmacy,8.458481454774859,3.9015218797772593,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,England,Edinburgh,Corporate Wellness Site,1
188,Pharmacy,9.642997232679942,11.776915958409072,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Free State,Bloemfontein,In-Person Counselling Centre,1
189,Pharmacy,8.515241115947536,7.403665811114353,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Florida,Seattle,Corporate Wellness Site,1
190,Pharmacy,4.568367704648898,4.538307361572612,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,Los Angeles,Critical Incident Response Centre,1
191,Pharmacy,13.41789985815599,7.971073784092557,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,New York,Telephone Counselling Centre,1
192,Pharmacy,7.139375364234614,6.107101398276764,AU,Australia,Asia-Pacific,Oceania,AUD,Australian Privacy Act-oriented controls,Queensland,Perth,Critical Incident Response Centre,1
193,Pharmacy,12.534397560229348,13.463551903089916,AU,Australia,Asia-Pacific,Oceania,AUD,Australian Privacy Act-oriented controls,Victoria,Melbourne,Telephone Counselling Centre,1
194,Pharmacy,12.980795287007764,11.622069594841166,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,KwaZulu-Natal,Johannesburg,Telephone Counselling Centre,1
195,Pharmacy,7.733710787099292,4.8377249111683645,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Florida,Los Angeles,Telephone Counselling Centre,1
196,Pharmacy,9.833774527229274,9.342765340286414,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Florida,Los Angeles,Corporate Wellness Site,1
197,Pharmacy,9.26099148322707,6.949591300423132,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Free State,Cape Town,Digital Care Hub,1
198,Pharmacy,6.903815758540224,8.923354267438397,AU,Australia,Asia-Pacific,Oceania,AUD,Australian Privacy Act-oriented controls,New South Wales,Sydney,Telephone Counselling Centre,1
199,Pharmacy,7.798100377089423,10.536650423755033,AU,Australia,Asia-Pacific,Oceania,AUD,Australian Privacy Act-oriented controls,Victoria,Adelaide,In-Person Counselling Centre,1
200,Pharmacy,8.639853342426235,14.580846272654249,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,Northern Ireland,London,Digital Care Hub,1
201,Pharmacy,7.822746764287473,7.744119540516145,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Western Cape,Bloemfontein,Telephone Counselling Centre,1
202,Pharmacy,6.31845471175813,13.138248267663377,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,Seattle,Corporate Wellness Site,1
203,Pharmacy,7.49086376456,14.00035222478346,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,Los Angeles,Corporate Wellness Site,1
204,Pharmacy,5.43458807756856,13.886717290598602,AU,Australia,Asia-Pacific,Oceania,AUD,Australian Privacy Act-oriented controls,Western Australia,Brisbane,In-Person Counselling Centre,1
205,Pharmacy,11.664591884109935,13.978816288520536,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,KwaZulu-Natal,Pretoria,Critical Incident Response Centre,1
206,Pharmacy,10.71775894775616,8.416837824574145,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Florida,New York,In-Person Counselling Centre,1
207,Pharmacy,7.532024359704663,9.313638081214648,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,Seattle,Critical Incident Response Centre,1
208,Pharmacy,11.360117154503362,13.768561055245137,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Eastern Cape,Pretoria,Digital Care Hub,1
209,Pharmacy,5.043547150332055,14.156089094460372,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,Austin,Digital Care Hub,1
210,Pharmacy,9.086952016499136,11.17135157517398,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,New York,Telephone Counselling Centre,1
211,Pharmacy,11.646500634006388,5.735744061172399,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,New York,Corporate Wellness Site,1
212,Pharmacy,4.946485890765076,8.465190813874113,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Western Cape,Bloemfontein,In-Person Counselling Centre,1
213,Pharmacy,6.061207858946537,4.720916030213648,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Gauteng,Cape Town,Telephone Counselling Centre,1
214,Pharmacy,11.056091970813675,6.6820583536475,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,Austin,Telephone Counselling Centre,1
215,Pharmacy,5.571196818999912,11.18003384841326,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Western Cape,Bloemfontein,Digital Care Hub,1
216,Pharmacy,9.574714956215107,5.483551315395649,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,Austin,In-Person Counselling Centre,1
217,Pharmacy,9.159418274413392,7.749449182385776,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,Los Angeles,Digital Care Hub,1
218,Pharmacy,6.149232646242025,9.850887010155631,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Free State,Cape Town,Corporate Wellness Site,1
219,Pharmacy,7.781526571251094,13.158567740177109,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Western Cape,Bloemfontein,Telephone Counselling Centre,1
220,Pharmacy,8.598475433533732,12.302058884209286,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,Wales,London,Digital Care Hub,1
221,Pharmacy,4.4698809831424935,7.67727245576916,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Western Cape,Pretoria,Telephone Counselling Centre,1
222,Pharmacy,13.534803491899392,3.6699652040519775,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,KwaZulu-Natal,Johannesburg,Corporate Wellness Site,1
223,Pharmacy,11.214177799268366,3.822702180777537,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Florida,Seattle,Corporate Wellness Site,1
224,Pharmacy,11.784835773719918,13.832128648291162,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,Austin,In-Person Counselling Centre,1
225,Pharmacy,10.398358996126944,9.591263426268537,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,Miami,Digital Care Hub,1
226,Pharmacy,10.231644573317084,10.773201276878751,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,Seattle,In-Person Counselling Centre,1
227,Pharmacy,11.289357438715424,14.458522823191624,CA,Canada,North America,Canada,CAD,PIPEDA-oriented privacy controls,Ontario,Toronto,In-Person Counselling Centre,1
228,Pharmacy,10.611890057779268,6.5199304618570855,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,Los Angeles,Corporate Wellness Site,1
229,Pharmacy,10.99409925187551,11.29225142824091,AU,Australia,Asia-Pacific,Oceania,AUD,Australian Privacy Act-oriented controls,Queensland,Sydney,In-Person Counselling Centre,1
230,Pharmacy,5.761154507984584,3.8821329105914426,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Free State,Cape Town,In-Person Counselling Centre,1
231,Pharmacy,10.233873505681704,11.89234278092172,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,Wales,Edinburgh,In-Person Counselling Centre,1
232,Pharmacy,9.619527584108104,14.261228715257383,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,Miami,Corporate Wellness Site,1
233,Pharmacy,10.410653808022824,13.914270371894473,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Free State,Johannesburg,In-Person Counselling Centre,1
234,Pharmacy,11.725153861082916,10.777529496625942,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,Austin,Telephone Counselling Centre,1
235,Pharmacy,13.41941799488281,11.12437820789431,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Florida,Austin,Digital Care Hub,1
236,Pharmacy,9.238332971879204,5.626344244765427,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Western Cape,Johannesburg,Corporate Wellness Site,1
237,Pharmacy,9.868094779296634,12.426729535120112,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,New York,Telephone Counselling Centre,1
238,Pharmacy,10.750775728974835,6.927639913058804,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,Los Angeles,Telephone Counselling Centre,1
239,Pharmacy,5.970911698269574,14.08690336076942,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Free State,Durban,Telephone Counselling Centre,1
240,Pharmacy,12.533996133894734,13.993114966162006,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,Seattle,In-Person Counselling Centre,1
241,Pharmacy,9.520118536786184,10.668573962195826,CA,Canada,North America,Canada,CAD,PIPEDA-oriented privacy controls,British Columbia,Vancouver,In-Person Counselling Centre,1
242,Pharmacy,4.346166487597907,8.715143092314399,CA,Canada,North America,Canada,CAD,PIPEDA-oriented privacy controls,British Columbia,Vancouver,Digital Care Hub,1
243,Pharmacy,4.549565194242631,5.097404224535454,AU,Australia,Asia-Pacific,Oceania,AUD,Australian Privacy Act-oriented controls,Western Australia,Perth,Digital Care Hub,1
244,Pharmacy,5.729676621892749,10.065330288666209,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,Seattle,Digital Care Hub,1
245,Pharmacy,9.610806608397382,9.674208867223305,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,Seattle,In-Person Counselling Centre,1
246,Pharmacy,6.909641714401037,4.980755391907673,AU,Australia,Asia-Pacific,Oceania,AUD,Australian Privacy Act-oriented controls,Victoria,Melbourne,Corporate Wellness Site,1
247,Pharmacy,5.127033374739273,3.571326570905296,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,Los Angeles,In-Person Counselling Centre,1
248,Pharmacy,6.859863143912885,13.025769339136527,CA,Canada,North America,Canada,CAD,PIPEDA-oriented privacy controls,Quebec,Calgary,Critical Incident Response Centre,1
249,Pharmacy,10.842532578060258,10.22883128017086,CA,Canada,North America,Canada,CAD,PIPEDA-oriented privacy controls,Ontario,Ottawa,Digital Care Hub,1
250,Pharmacy,10.114494803049508,12.000344788736452,AU,Australia,Asia-Pacific,Oceania,AUD,Australian Privacy Act-oriented controls,Queensland,Melbourne,Telephone Counselling Centre,1
251,Pharmacy,8.255194705817772,9.18016265516887,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,Seattle,Digital Care Hub,1
252,Pharmacy,8.400029055335445,4.65964366840942,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,Miami,In-Person Counselling Centre,1
253,Pharmacy,7.605401804599339,13.198355903630976,AU,Australia,Asia-Pacific,Oceania,AUD,Australian Privacy Act-oriented controls,Western Australia,Perth,Digital Care Hub,1
254,Pharmacy,12.715701408467114,11.455582182671822,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,Austin,Telephone Counselling Centre,1
255,Pharmacy,6.683694803141639,3.27998985971038,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,New York,Telephone Counselling Centre,1
256,Pharmacy,10.642403061747071,6.250096978126953,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Free State,Pretoria,Corporate Wellness Site,1
257,Pharmacy,11.637122508331656,7.582188055868984,CA,Canada,North America,Canada,CAD,PIPEDA-oriented privacy controls,Quebec,Montreal,Telephone Counselling Centre,1
258,Pharmacy,10.01993464895862,11.97140989824034,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Gauteng,Durban,Corporate Wellness Site,1
259,Pharmacy,8.576511086582236,4.887680317763394,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Free State,Bloemfontein,Telephone Counselling Centre,1
260,Pharmacy,11.185282076472458,3.9425233585796073,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,Seattle,Digital Care Hub,1
261,Pharmacy,6.682974919270045,12.574032035411138,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Gauteng,Durban,Digital Care Hub,1
262,Pharmacy,11.621710085313184,13.877402721585142,CA,Canada,North America,Canada,CAD,PIPEDA-oriented privacy controls,Ontario,Ottawa,In-Person Counselling Centre,1
263,Pharmacy,11.301338741573346,5.252615320278671,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Florida,Miami,In-Person Counselling Centre,1
264,Pharmacy,7.728329681601454,13.606747073711556,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,Los Angeles,Telephone Counselling Centre,1
265,Pharmacy,8.937739722032205,12.348543331420332,AU,Australia,Asia-Pacific,Oceania,AUD,Australian Privacy Act-oriented controls,Victoria,Perth,Telephone Counselling Centre,1
266,Pharmacy,13.493010438427453,11.28119864794096,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Gauteng,Durban,In-Person Counselling Centre,1
267,Pharmacy,5.65473737665879,8.847800549959121,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Eastern Cape,Durban,Digital Care Hub,1
268,Pharmacy,11.135400833111666,5.156072341890329,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,KwaZulu-Natal,Pretoria,Critical Incident Response Centre,1
269,Pharmacy,12.08455560648148,6.98494324291549,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,Seattle,Corporate Wellness Site,1
270,Pharmacy,4.97942267773819,12.390140764494667,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,Seattle,Corporate Wellness Site,1
271,Pharmacy,10.170847033051178,14.67513117098546,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,England,Edinburgh,Corporate Wellness Site,1
272,Pharmacy,4.702425328443491,12.34789614679886,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,Northern Ireland,Manchester,Digital Care Hub,1
273,Pharmacy,10.212754011572386,10.630261322914556,AU,Australia,Asia-Pacific,Oceania,AUD,Australian Privacy Act-oriented controls,Queensland,Adelaide,Telephone Counselling Centre,1
274,Pharmacy,12.891780573981736,4.308538790083128,AU,Australia,Asia-Pacific,Oceania,AUD,Australian Privacy Act-oriented controls,Victoria,Perth,Critical Incident Response Centre,1
275,Pharmacy,11.956601129711135,7.908943773444127,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,Seattle,Digital Care Hub,1
276,Pharmacy,12.59062622208874,3.6001500801180386,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,Miami,Digital Care Hub,1
277,Pharmacy,13.638826724532052,8.560092357241407,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,Wales,Edinburgh,Telephone Counselling Centre,1
278,Pharmacy,9.94267396676954,9.528398880957951,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,KwaZulu-Natal,Bloemfontein,In-Person Counselling Centre,1
279,Pharmacy,11.156917524482648,11.178946641571748,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Eastern Cape,Pretoria,In-Person Counselling Centre,1
280,Pharmacy,6.500920991775953,8.160361841827568,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,England,Edinburgh,Corporate Wellness Site,1
281,Pharmacy,12.78056951517875,6.124487067655483,AU,Australia,Asia-Pacific,Oceania,AUD,Australian Privacy Act-oriented controls,Queensland,Melbourne,In-Person Counselling Centre,1
282,Pharmacy,7.441644964900899,12.547264146756556,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,Miami,In-Person Counselling Centre,1
283,Pharmacy,8.51083628726969,8.315380203601517,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,New York,Critical Incident Response Centre,1
284,Pharmacy,10.810256726963186,11.234227511987058,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,New York,Telephone Counselling Centre,1
285,Pharmacy,9.352586228988525,8.480260428931526,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Western Cape,Cape Town,In-Person Counselling Centre,1
286,Pharmacy,13.164681437310207,4.020594705901034,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,Seattle,Telephone Counselling Centre,1
287,Pharmacy,5.748920998281447,5.639183615726573,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Florida,Miami,Digital Care Hub,1
288,Pharmacy,12.835714557842325,5.646433687589925,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Florida,New York,Critical Incident Response Centre,1
289,Pharmacy,7.694310863269534,13.89571364020046,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,Los Angeles,Telephone Counselling Centre,1
290,Pharmacy,8.853549263996513,3.391172476763696,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,KwaZulu-Natal,Durban,Corporate Wellness Site,1
291,Pharmacy,10.599844621132627,6.461105718246314,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Florida,Miami,Telephone Counselling Centre,1
292,Pharmacy,12.420735813089104,3.5836731050151696,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,New York,Critical Incident Response Centre,1
293,Pharmacy,7.840732945977557,3.418406166133069,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,England,Belfast,Corporate Wellness Site,1
294,Pharmacy,8.732776093193092,12.056203331593997,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,Los Angeles,Corporate Wellness Site,1
295,Pharmacy,6.219857431404432,11.677189438111435,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,New York,Telephone Counselling Centre,1
296,Pharmacy,13.7157062322536,5.445288187930283,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,Seattle,Critical Incident Response Centre,1
297,Pharmacy,13.411529468237312,13.409270394778162,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,Scotland,Manchester,Digital Care Hub,1
298,Pharmacy,8.473890314935254,10.053074203438744,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,Miami,In-Person Counselling Centre,1
299,Pharmacy,9.487220402580729,11.153214419689805,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Gauteng,Pretoria,Corporate Wellness Site,1
300,Pharmacy,8.733453670915097,14.334456415545024,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,Miami,Telephone Counselling Centre,1
301,Pharmacy,6.057905505979255,10.868330544498848,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,Los Angeles,Corporate Wellness Site,1
302,Pharmacy,11.98769570752619,6.271463494251097,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,Miami,Telephone Counselling Centre,1
303,Pharmacy,8.255767115085185,5.005665239849149,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,Seattle,Digital Care Hub,1
304,Pharmacy,6.631887708514514,9.65109445226192,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Western Cape,Johannesburg,In-Person Counselling Centre,1
305,Pharmacy,12.297210821896613,10.75950064009252,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Western Cape,Durban,Telephone Counselling Centre,1
306,Pharmacy,12.474761285012784,10.514854243873078,CA,Canada,North America,Canada,CAD,PIPEDA-oriented privacy controls,Ontario,Ottawa,Telephone Counselling Centre,1
307,Pharmacy,11.350307054912273,10.718619313258673,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,Seattle,Telephone Counselling Centre,1
308,Pharmacy,8.008963883945126,8.900042749107428,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,Miami,In-Person Counselling Centre,1
309,Pharmacy,9.57137251905083,13.851161714585263,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,Northern Ireland,London,In-Person Counselling Centre,1
310,Pharmacy,11.203396326001217,6.735846342192415,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,New York,Digital Care Hub,1
311,Pharmacy,6.40445668579352,5.761526513856754,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,Los Angeles,Telephone Counselling Centre,1
312,Pharmacy,7.073120788201763,7.406963515746174,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,New York,Telephone Counselling Centre,1
313,Pharmacy,13.17886344685462,3.577856715683992,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,New York,Digital Care Hub,1
314,Pharmacy,11.894059872019945,5.134165801122927,CA,Canada,North America,Canada,CAD,PIPEDA-oriented privacy controls,British Columbia,Toronto,Telephone Counselling Centre,1
315,Pharmacy,7.081165308403959,4.380687272502002,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,England,Belfast,Critical Incident Response Centre,1
316,Pharmacy,8.190671757245823,13.48968071501417,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Eastern Cape,Johannesburg,Corporate Wellness Site,1
317,Pharmacy,12.265005265547977,4.285299233915507,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Florida,Los Angeles,Digital Care Hub,1
318,Pharmacy,8.904903768595105,9.285211204344789,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,New York,Digital Care Hub,1
319,Pharmacy,6.3770495185240925,13.938013041762185,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,Austin,Corporate Wellness Site,1
320,Pharmacy,6.875618575533149,12.973870491719923,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Florida,Seattle,Telephone Counselling Centre,1
321,Pharmacy,8.976051289879099,13.423564778428764,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,Miami,Telephone Counselling Centre,1
322,Pharmacy,9.899728785643902,8.399127910369764,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Free State,Johannesburg,Telephone Counselling Centre,1
323,Pharmacy,9.443424191379762,13.34398074547675,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Eastern Cape,Durban,Corporate Wellness Site,1
324,Pharmacy,10.51990087130567,11.338918803380684,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,Miami,Telephone Counselling Centre,1
325,Pharmacy,4.730223383989911,7.583318434419146,CA,Canada,North America,Canada,CAD,PIPEDA-oriented privacy controls,Quebec,Calgary,Digital Care Hub,1
326,Pharmacy,7.586399025518608,12.016477121522136,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Western Cape,Johannesburg,Critical Incident Response Centre,1
327,Pharmacy,8.472024768305861,9.20812703871031,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Free State,Cape Town,Corporate Wellness Site,1
328,Pharmacy,8.030975778193827,10.033211079532617,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Western Cape,Johannesburg,In-Person Counselling Centre,1
329,Pharmacy,13.686257278062914,5.214714089511816,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,New York,Austin,Telephone Counselling Centre,1
330,Pharmacy,6.331607966896908,4.807623086639458,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,Miami,Corporate Wellness Site,1
331,Pharmacy,5.5271329787624826,11.504656240373984,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,New York,Digital Care Hub,1
332,Pharmacy,8.51092754859001,8.876253782412316,UK,United Kingdom,Europe,Western Europe,GBP,UK GDPR-oriented privacy controls,Wales,London,Telephone Counselling Centre,1
333,Pharmacy,8.137522724938043,6.186091800034413,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Florida,New York,Telephone Counselling Centre,1
334,Pharmacy,10.905696817761566,8.464201048930647,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Texas,Seattle,Critical Incident Response Centre,1
335,Pharmacy,8.531970101425019,13.25114530438776,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,Washington,Los Angeles,Digital Care Hub,1
336,Pharmacy,8.509115086411567,10.198183137011132,US,United States,North America,United States,USD,HIPAA-oriented privacy controls,California,Austin,Corporate Wellness Site,1
337,Pharmacy,8.10409561426269,6.406321605199208,AU,Australia,Asia-Pacific,Oceania,AUD,Australian Privacy Act-oriented controls,Queensland,Perth,Corporate Wellness Site,1
338,Pharmacy,10.041478996772774,6.35349431685341,ZA,South Africa,Africa,Southern Africa,ZAR,POPIA-oriented privacy controls,Free State,Johannesburg,Digital Care Hub,1
