EmployeeNaturalKey,CountryCode,ConsentType,ConsentStatus,ConsentChannel,ChangeReason
EMP0000813677,ZA,Marketing,Granted,Web Portal,Initial Consent
EMP0000813677,ZA,Research,Granted,Mobile App,Initial Consent
EMP0000813677,ZA,Service Delivery,Granted,Web Portal,Initial Consent
EMP0000819520,US,Analytics,Granted,Mobile App,Initial Consent
EMP0000819520,US,Data Sharing,Declined,Web Portal,Initial Consent
EMP0000819520,US,Marketing,Declined,Mobile App,Initial Consent
EMP0000819520,US,Research,Granted,HR Upload,Initial Consent
EMP0000819520,US,Service Delivery,Granted,Call Centre,Initial Consent
EMP0000827874,UK,Analytics,Granted,Call Centre,Initial Consent
EMP0000827874,UK,Data Sharing,Granted,Mobile App,Initial Consent
EMP0000827874,UK,Marketing,Granted,Mobile App,Initial Consent
EMP0000827874,UK,Research,Granted,Mobile App,Initial Consent
EMP0000827874,UK,Service Delivery,Granted,HR Upload,Initial Consent
EMP0000837221,US,Analytics,Granted,Mobile App,Initial Consent
EMP0000837221,US,Data Sharing,Granted,Web Portal,Initial Consent
EMP0000837221,US,Marketing,Granted,Mobile App,Initial Consent
EMP0000837221,US,Research,Granted,Call Centre,Initial Consent
EMP0000837221,US,Service Delivery,Granted,Web Portal,Initial Consent
EMP0000847095,US,Analytics,Granted,HR Upload,Initial Consent
EMP0000847095,US,Data Sharing,Granted,Call Centre,Initial Consent
EMP0000847095,US,Marketing,Granted,HR Upload,Initial Consent
EMP0000847095,US,Research,Granted,HR Upload,Initial Consent
EMP0000847095,US,Service Delivery,Granted,Web Portal,Initial Consent
EMP0000853750,US,Analytics,Granted,Call Centre,Initial Consent
EMP0000853750,US,Data Sharing,Granted,Mobile App,Initial Consent
EMP0000853750,US,Marketing,Granted,Web Portal,Initial Consent
EMP0000853750,US,Research,Granted,Call Centre,Initial Consent
EMP0000853750,US,Service Delivery,Granted,Web Portal,Initial Consent
EMP0000858131,ZA,Analytics,Granted,Call Centre,Initial Consent
EMP0000858131,ZA,Data Sharing,Granted,Mobile App,Initial Consent
EMP0000858131,ZA,Marketing,Granted,Web Portal,Initial Consent
EMP0000858131,ZA,Research,Granted,Call Centre,Initial Consent
EMP0000858131,ZA,Service Delivery,Granted,Mobile App,Initial Consent
EMP0000860170,US,Analytics,Granted,Web Portal,Initial Consent
EMP0000860170,US,Data Sharing,Declined,Call Centre,Initial Consent
EMP0000860170,US,Marketing,Granted,Web Portal,Initial Consent
EMP0000860170,US,Research,Granted,Web Portal,Initial Consent
EMP0000860170,US,Service Delivery,Granted,HR Upload,Initial Consent
EMP0000878286,UK,Analytics,Granted,Web Portal,Initial Consent
EMP0000878286,UK,Data Sharing,Granted,Call Centre,Initial Consent
EMP0000878286,UK,Marketing,Granted,Web Portal,Initial Consent
EMP0000878286,UK,Research,Granted,HR Upload,Initial Consent
EMP0000878286,UK,Service Delivery,Granted,Web Portal,Initial Consent
EMP0000886361,US,Analytics,Granted,Web Portal,Initial Consent
EMP0000886361,US,Data Sharing,Granted,Mobile App,Initial Consent
EMP0000886361,US,Marketing,Granted,HR Upload,Initial Consent
EMP0000886361,US,Research,Granted,Call Centre,Initial Consent
EMP0000886361,US,Service Delivery,Granted,Mobile App,Initial Consent
EMP0000905564,UK,Analytics,Declined,Mobile App,Initial Consent
EMP0000905564,UK,Data Sharing,Granted,Call Centre,Initial Consent
EMP0000905564,UK,Marketing,Granted,HR Upload,Initial Consent
EMP0000905564,UK,Research,Granted,Web Portal,Initial Consent
EMP0000905564,UK,Service Delivery,Declined,Call Centre,Initial Consent
EMP0000920307,US,Analytics,Granted,Web Portal,Initial Consent
EMP0000920307,US,Data Sharing,Granted,Call Centre,Initial Consent
EMP0000920307,US,Marketing,Granted,Mobile App,Initial Consent
EMP0000920307,US,Research,Granted,Call Centre,Initial Consent
EMP0000920307,US,Service Delivery,Declined,Mobile App,Initial Consent
EMP0000945199,US,Analytics,Granted,HR Upload,Initial Consent
EMP0000945199,US,Data Sharing,Granted,Call Centre,Initial Consent
EMP0000945199,US,Marketing,Granted,HR Upload,Initial Consent
EMP0000945199,US,Research,Granted,Web Portal,Initial Consent
EMP0000945199,US,Service Delivery,Granted,Call Centre,Initial Consent
EMP0000969327,US,Analytics,Granted,Mobile App,Initial Consent
EMP0000969327,US,Data Sharing,Granted,Web Portal,Initial Consent
EMP0000969327,US,Marketing,Granted,Call Centre,Initial Consent
EMP0000969327,US,Research,Granted,HR Upload,Initial Consent
EMP0000969327,US,Service Delivery,Granted,Call Centre,Initial Consent
EMP0000973520,US,Analytics,Granted,Mobile App,Initial Consent
EMP0000973520,US,Data Sharing,Granted,Web Portal,Initial Consent
EMP0000973520,US,Marketing,Granted,Web Portal,Initial Consent
EMP0000973520,US,Research,Granted,Web Portal,Initial Consent
EMP0000973520,US,Service Delivery,Granted,HR Upload,Initial Consent
EMP0000998807,US,Analytics,Granted,HR Upload,Initial Consent
EMP0000998807,US,Data Sharing,Granted,Call Centre,Initial Consent
EMP0000998807,US,Marketing,Granted,Call Centre,Initial Consent
EMP0000998807,US,Research,Granted,Call Centre,Initial Consent
EMP0000998807,US,Service Delivery,Granted,HR Upload,Initial Consent
